BZR_ID,BZR_NAME,BEZ,STAND,GROESSE_m2
"126011",MV Nord,"12",01.01.2021,2046186.803
"076012",Marienfelde Nord,"07",01.01.2021,4367867.546
"084012",Rudow,"08",01.01.2021,12044488.930
"121001",Ost 1 - Reginhardstraße,"12",01.01.2021,2311028.590
"121002",Ost 2 - Alt-Reinickendorf,"12",01.01.2021,5249868.962
"011002",Regierungsviertel,"01",01.01.2021,2695388.947
"063005",Teltower Damm,"06",01.01.2021,8063851.282
"124007",Nord 1 - Frohnau/Hermsdorf,"12",01.01.2021,13898108.280
"112005",Alt-Hohenschönhausen Süd,"11",01.01.2021,4599124.336
"045011",Volkspark Wilmersdorf,"04",01.01.2021,3333068.427
"051001",Hakenfelde,"05",01.01.2021,19970719.580
"095019",Dammvorstadt,"09",01.01.2021,2784569.088
"111002",Neu-Hohenschönhausen Nord,"11",01.01.2021,2801131.469
"062004",Ostpreußendamm,"06",01.01.2021,7942455.321
"113006",Fennpfuhl,"11",01.01.2021,2142299.595
"025007",Frankfurter Allee Nord,"02",01.01.2021,1280543.206
"112004",Alt-Hohenschönhausen Nord,"11",01.01.2021,4754291.558
"076013",Marienfelde Süd,"07",01.01.2021,4781166.214
"036014",Prenzlauer Berg Ost,"03",01.01.2021,3746689.696
"094013",Köpenick Süd,"09",01.01.2021,17989172.380
"075010",Mariendorf Nord,"07",01.01.2021,4813509.939
"044007",Grunewald,"04",01.01.2021,7585199.790
"093009",Altglienicke,"09",01.01.2021,7714216.883
"122003",West 4 - Auguste-Viktoria-Allee,"12",01.01.2021,2587760.912
"061001",Schloßstraße,"06",01.01.2021,1940086.260
"062003",Lankwitz,"06",01.01.2021,6993117.899
"036012",Prenzlauer Berg Nord,"03",01.01.2021,1659900.786
"083010",Gropiusstadt Ost,"08",01.01.2021,1132957.991
"111001","Malchow, Wartenberg und Falkenberg","11",01.01.2021,11507475.230
"014010",Wedding Zentrum,"01",01.01.2021,2504988.787
"035009",Weißensee,"03",01.01.2021,4233934.244
"124006",West 2 - Heiligensee/Konradshöhe,"12",01.01.2021,28862727.380
"044008",Schmargendorf,"04",01.01.2021,4082997.289
"104009",Mahlsdorf,"10",01.01.2021,12975520.240
"113007",Alt-Lichtenberg,"11",01.01.2021,6345384.345
"045009",Halensee,"04",01.01.2021,2257880.175
"025008",Frankfurter Allee Süd FK,"02",01.01.2021,4090903.871
"014009",Parkviertel,"01",01.01.2021,7134759.341
"064007",Zehlendorf Südwest,"06",01.01.2021,43355669.170
"071002",Schöneberg Nordost,"07",01.01.2021,1367491.611
"043005",Mierendorffplatz,"04",01.01.2021,1895777.143
"011003",Alexanderplatz,"01",01.01.2021,6228829.686
"091004",Johannisthal,"09",01.01.2021,7001889.783
"081002",Neuköllner Mitte/Zentrum,"08",01.01.2021,1936486.493
"082007",Britz,"08",01.01.2021,9490452.683
"072003",Schöneberg Südwest,"07",01.01.2021,1150671.937
"064008",Zehlendorf Nord,"06",01.01.2021,19134394.450
"102005",Hellersdorf Ost,"10",01.01.2021,2113870.167
"104008",Kaulsdorf,"10",01.01.2021,8771281.281
"041001",Charlottenburg Nord,"04",01.01.2021,5788335.304
"037015",Prenzlauer Berg Südwest,"03",01.01.2021,1370146.504
"114011",Friedrichsfelde Süd,"11",01.01.2021,2215317.081
"013007",Osloer Straße,"01",01.01.2021,2366239.284
"122004",West 1 - Tegel-Süd/Flughafensee,"12",01.01.2021,13361073.050
"051003",Spandau Mitte,"05",01.01.2021,6618611.731
"051002",Falkenhagener Feld,"05",01.01.2021,6990747.567
"042003",Westend,"04",01.01.2021,5920028.179
"023003",Nördliche Luisenstadt,"02",01.01.2021,1266268.865
"081001",Schillerpromenade,"08",01.01.2021,2950164.696
"074008",Tempelhof Südwest,"07",01.01.2021,4483821.385
"011001",Tiergarten Süd,"01",01.01.2021,5171032.456
"063006",Drakestraße,"06",01.01.2021,10283128.340
"075011",Mariendorf Süd,"07",01.01.2021,4565313.276
"115013",Karlshorst,"11",01.01.2021,6586091.102
"021001",Südliche  Friedrichstadt,"02",01.01.2021,2941310.369
"061002",Albrechtstraße,"06",01.01.2021,4847378.552
"081005",Köllnische Heide,"08",01.01.2021,3318164.343
"033004",Karow,"03",01.01.2021,6610126.739
"052006",Wilhelmstadt,"05",01.01.2021,8566947.864
"081003",Reuterstraße,"08",01.01.2021,1426230.513
"103007",Biesdorf,"10",01.01.2021,12404487.190
"093010",Bohnsdorf,"09",01.01.2021,6682882.610
"095017",Friedrichshagen,"09",01.01.2021,14043467.150
"081004",Rixdorf,"08",01.01.2021,2073213.734
"054009",Gatow/Kladow,"05",01.01.2021,24891043.390
"126012",MV Süd,"12",01.01.2021,1101711.357
"115012",Rummelsburger Bucht,"11",01.01.2021,2401515.387
"125009",Nord 2 - Waidmannslust/Wittenau/Lübars,"12",01.01.2021,11799223.930
"034008",Pankow Süd,"03",01.01.2021,3031474.008
"012005",Moabit West,"01",01.01.2021,4304976.874
"022002",Tempelhofer Vorstadt,"02",01.01.2021,4746238.097
"092008",Köllnische Vorstadt/Spindlersfeld,"09",01.01.2021,2123326.289
"092006",Niederschöneweide,"09",01.01.2021,2977760.262
"125008",West 3 - Borsigwalde/Freie Scholle,"12",01.01.2021,4077142.537
"076014",Lichtenrade Nord,"07",01.01.2021,4334897.980
"084011",Buckow Nord,"08",01.01.2021,1401292.707
"034007",Pankow Zentrum,"03",01.01.2021,3941158.722
"071001",Schöneberg Nordwest,"07",01.01.2021,1479646.031
"043004",Schloss Charlottenburg,"04",01.01.2021,3516099.373
"091001",Alt-Treptow,"09",01.01.2021,2314160.878
"095018",Rahnsdorf,"09",01.01.2021,21450568.860
"092005",Oberschöneweide,"09",01.01.2021,7936340.825
"094015",Altstadt Köpenick,"09",01.01.2021,796813.695
"042002",Heerstraße,"04",01.01.2021,23529978.580
"052005",Heerstraße,"05",01.01.2021,7565239.472
"037016",Prenzlauer Berg Süd,"03",01.01.2021,1660928.148
"032002",Blankenfelde/Niederschönhausen,"03",01.01.2021,19665092.920
"024006",Karl-Marx-Allee Süd,"02",01.01.2021,2350782.277
"035010",Weißensee Ost,"03",01.01.2021,3709396.862
"033005",Blankenburg/Heinersdorf/Märchenland,"03",01.01.2021,15614019.770
"045010",Lietzenburger Straße,"04",01.01.2021,2903189.399
"094014",Allende-Viertel,"09",01.01.2021,3443699.731
"076015",Lichtenrade Süd,"07",01.01.2021,5708364.701
"111003",Neu-Hohenschönhausen Süd,"11",01.01.2021,2339876.227
"093012",Schmöckwitz,"09",01.01.2021,17119751.120
"093011",Grünau,"09",01.01.2021,9172773.623
"094016",Müggelheim,"09",01.01.2021,22214559.980
"053007",Haselhorst,"05",01.01.2021,4693583.382
"074007",Tempelhof Nord,"07",01.01.2021,5465569.653
"072004",Schöneberg Südost,"07",01.01.2021,2208076.996
"091002",Plänterwald,"09",01.01.2021,2999070.933
"091003",Baumschulenweg,"09",01.01.2021,4833401.981
"102006",Hellersdorf Süd,"10",01.01.2021,2408355.620
"036011",Prenzlauer Berg Nordwest,"03",01.01.2021,1929113.442
"113008",Frankfurter Allee Süd,"11",01.01.2021,1053291.625
"052004",Brunsbütteler Damm,"05",01.01.2021,6882749.643
"012006",Moabit Ost,"01",01.01.2021,3917086.384
"013008",Brunnenstraße Nord,"01",01.01.2021,3320296.446
"073005",Friedenau West,"07",01.01.2021,1462457.487
"114009",Neu-Lichtenberg,"11",01.01.2021,2620057.855
"024005",Karl-Marx-Allee Nord,"02",01.01.2021,2227557.183
"073006",Friedenau Ost,"07",01.01.2021,3141430.817
"032003",Buchholz,"03",01.01.2021,6469352.748
"114010",Friedrichsfelde Nord,"11",01.01.2021,2754124.065
"101002",Marzahn Mitte,"10",01.01.2021,7918489.601
"074009",Tempelhof Südost,"07",01.01.2021,3719600.821
"043006",Otto-Suhr-Allee/Kantstraße,"04",01.01.2021,3880270.407
"034006",Schönholz/Wilhelmsruh/Rosenthal,"03",01.01.2021,5877815.104
"053008",Siemensstadt,"05",01.01.2021,5695445.845
"126010",Rollbergesiedlung,"12",01.01.2021,1635437.480
"095020",Köpenick Nord,"09",01.01.2021,7971029.738
"083009",Gropiusstadt West,"08",01.01.2021,1524945.452
"082008",Buckow,"08",01.01.2021,4597310.386
"101003",Marzahn Süd,"10",01.01.2021,9029056.095
"023004",Südliche Luisenstadt,"02",01.01.2021,1496159.370
"092007",Adlershof,"09",01.01.2021,6164870.060
"101001",Marzahn Nord,"10",01.01.2021,2595510.501
"036013",Helmholtzplatz,"03",01.01.2021,711300.072
"102004",Hellersdorf Nord,"10",01.01.2021,3601217.456
"122005",West 5 - Tegel,"12",01.01.2021,2392477.977
"082006",Britz Nord,"08",01.01.2021,3035955.090
"011004",Brunnenstraße Süd,"01",01.01.2021,1755172.262
"031001",Buch,"03",01.01.2021,22984831.670
